<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.05.09	15:00:00	2025.973	2027.561	2024.391	2026.877	4957	0	200
2023.05.09	16:00:00	2026.912	2032.586	2026.835	2030.955	5601	0	200
2023.05.09	17:00:00	2030.946	2037.561	2030.702	2035.564	5596	0	200
2023.05.09	18:00:00	2035.534	2037.026	2034.947	2035.248	3875	0	200
2023.05.09	19:00:00	2035.279	2035.649	2034.062	2034.239	3410	0	200
2023.05.09	20:00:00	2034.278	2035.097	2034.086	2034.458	1695	0	200
2023.05.09	22:00:00	2034.477	2036.465	2034.083	2035.985	1601	0	200
2023.05.09	23:00:00	2036.019	2037.119	2035.884	2036.270	1589	0	200
2023.05.10	00:00:00	2036.310	2038.182	2034.965	2036.421	2861	0	200
2023.05.10	01:00:00	2036.438	2037.037	2032.661	2032.825	3782	0	200
2023.05.10	02:00:00	2032.821	2033.512	2030.440	2031.276	3091	0	200
2023.05.10	03:00:00	2031.287	2032.457	2030.740	2031.675	2493	0	200
2023.05.10	04:00:00	2031.643	2031.644	2029.705	2030.639	2226	0	200
2023.05.10	05:00:00	2030.640	2031.448	2027.718	2028.965	3000	0	200
2023.05.10	06:00:00	2028.945	2032.937	2027.414	2032.051	3920	0	200
2023.05.10	07:00:00	2032.053	2032.053	2028.136	2031.661	4258	0	200
2023.05.10	08:00:00	2031.657	2031.794	2026.239	2028.456	4152	0	200
2023.05.10	09:00:00	2028.424	2030.020	2028.054	2029.020	3419	0	200
2023.05.10	10:00:00	2029.004	2032.041	2029.004	2031.268	3233	0	200
2023.05.10	11:00:00	2031.252	2031.700	2028.251	2029.246	3574	0	200
2023.05.10	12:00:00	2029.277	2048.145	2024.972	2045.533	16631	0	200
2023.05.10	13:00:00	2045.566	2046.630	2031.890	2038.044	15528	0	200
2023.05.10	14:00:00	2038.013	2038.065	2028.164	2029.048	12634	0	200
2023.05.10	15:00:00	2029.033	2029.857	2021.356	2025.006	8801	0	200
2023.05.10	16:00:00	2024.983	2028.789	2024.489	2027.789	4824	0	200
2023.05.10	17:00:00	2027.819	2033.240	2027.352	2030.849	5430	0	200
2023.05.10	18:00:00	2030.882	2034.126	2030.622	2032.186	4685	0	200
2023.05.10	19:00:00	2032.152	2032.584	2029.109	2030.893	4159	0	200
2023.05.10	20:00:00	2030.926	2031.532	2029.101	2029.623	1620	0	200
2023.05.10	22:00:00	2029.678	2031.369	2029.521	2030.785	1226	0	200
2023.05.10	23:00:00	2030.791	2032.072	2030.729	2031.436	1509	0	200
2023.05.11	00:00:00	2031.411	2035.423	2031.232	2035.265	2896	0	200
2023.05.11	01:00:00	2035.298	2036.348	2032.931	2033.531	4518	0	200
2023.05.11	02:00:00	2033.509	2034.126	2031.132	2032.166	3834	0	200
2023.05.11	03:00:00	2032.136	2033.663	2031.753	2032.367	2518	0	200
2023.05.11	04:00:00	2032.363	2032.478	2029.959	2031.068	2527	0	200
2023.05.11	05:00:00	2031.037	2033.109	2030.018	2032.202	3121	0	200
2023.05.11	06:00:00	2032.191	2032.690	2027.229	2027.392	5078	0	200
